GRADE,year,month,grade_production,total_monthly_production,grade_mix_percentage,heat_count
SAE5150,2023,10,109.0515804907195,37972.927349791105,0.29,2
S45CP3,2023,10,111.3496348710638,37972.927349791105,0.29,2
SCM435H,2023,10,111.8745268209652,37972.927349791105,0.29,2
C45MOD2,2023,10,107.82131616163781,37972.927349791105,0.28,2
VS14250,2023,10,104.92111695951681,37972.927349791105,0.28,2
SAE4135H,2023,10,103.5251998604909,37972.927349791105,0.27,2
C45RPBHH,2023,10,102.6002424400678,37972.927349791105,0.27,2
S45CQDS,2023,10,62.7570815557518,37972.927349791105,0.17,1
C70S6,2023,10,62.7570815557518,37972.927349791105,0.17,1
SCR420,2023,10,59.2988948518202,37972.927349791105,0.16,1
GRADE2,2023,10,60.5387388075428,37972.927349791105,0.16,1
UC1,2023,10,61.3850903698959,37972.927349791105,0.16,1
S70CVS1,2023,10,61.4117740478338,37972.927349791105,0.16,1
AISI420VL,2023,10,56.6209664386754,37972.927349791105,0.15,1
AISI420VS,2023,10,58.2127419234873,37972.927349791105,0.15,1
52CRMOV4,2023,10,55.1865233275727,37972.927349791105,0.15,1
S25C,2023,10,56.7653664170036,37972.927349791105,0.15,1
AISI1117,2023,10,57.2053418608169,37972.927349791105,0.15,1
