GRADE,total_charge_input,total_production_output,yield_efficiency_percentage
AISI434MO,43342.60281798317,36352.900704184045,83.87
S35C,716113.5818871905,599361.7435094243,83.7
C60,45571.444266436236,38093.011459976726,83.59
S45CP3,266.84055198692,223.04172571955291,83.59
N52,137.9640748389467,115.3281962205108,83.59
EN19,134618.26003141716,112481.18824505409,83.56
16MNCR5LSI,975560.2132740637,814958.3914456618,83.54
52CRMOV4,360194.91892046377,300708.5379339284,83.48
S45CS1VQD,218790.71382698813,182603.21000778937,83.46
C43,45571.444266436236,38028.338872738925,83.45
40MNSIVS6,173150.65820697695,144419.37557715861,83.41
SCM420,221005.88218810497,184211.59806120163,83.35
SAE1015,262137.715379783,218239.6006402873,83.25
20MNCR5,1122442.9721358633,934242.8847831009,83.23
SCM420H2V2,307707.68268901866,256109.6835077441,83.23
SAE1026,45571.444266436236,37914.86817909174,83.2
C40MOD2,62.2366484988394,51.7705875380325,83.18
VS1311354,43425.67629642603,36106.434329288066,83.15
SAE5150,129862.99365523286,107798.53581979897,83.01
EN19C,268929.5359297378,223149.47416451105,82.98
SAE4135,88929.93098740853,73767.79715762434,82.95
AISI434MO1,88859.10881818054,73691.8188470245,82.93
SCM435H,262009.76702515697,217093.4993191573,82.86
EN45A,68.2018580926157,56.4732937787672,82.8
C38N,88859.10881818054,73553.35563020223,82.78
AISI416,134675.32926951427,111326.38623107507,82.66
EN8C,178157.56982727806,147199.3413312459,82.62
44MN1VS6,43361.32932771235,35826.21528976534,82.62
S45CS1QDS,939453.05099801,776078.2770726908,82.61
1541M,88926.97026234119,73414.24030372432,82.56
S40C,91351.03104373059,75386.26326180437,82.52
SAE1117,45571.444266436236,37592.72458873595,82.49
53CG,43287.66455174431,35676.64835611214,82.42
S45CS1V,136774.29794547815,112648.54973693308,82.36
45CP3,43359.268818118224,35645.24133950408,82.21
SUP9AM,45571.444266436236,37448.70271551812,82.18
SAE8319,45571.444266436236,37423.115481039844,82.12
46S20N,60.2418088646376,49.4428699075024,82.07
SCR415HM,88915.72381125925,72943.68020609199,82.04
EN8M,45641.36009265486,37415.56182997985,81.98
SA266,43287.66455174431,35467.10462466033,81.93
GRADE2,177790.45231479837,145500.9967870591,81.84
AISI430L,399003.2484255358,326439.62331843574,81.81
22MN6,134617.8638563117,110061.19228091407,81.76
EN353,401139.24741071614,327871.18630518456,81.74
SAE15B41,312488.862119537,255272.2628871582,81.69
C56E2,43477.868712478434,35489.25720076971,81.63
R16,983191.5374740083,802447.4132954578,81.62
SUP9A,91142.88853287246,74336.38994851902,81.56
40CAD612PB,43287.66455174431,35272.34097198921,81.48
SSR550,1195904.26202645,974250.1925762132,81.47
5150N,45571.444266436236,36907.421584906944,80.99
SCR420HN,88916.48466000758,71985.5750489637,80.96
S43C,91212.31132401191,73716.4469065882,80.82
60SICR8,310184.01085785497,250401.13956963216,80.73
SUP11AM,225768.9408306162,182091.78042991168,80.65
Unknown,314630.3549305935,253336.0328875006,80.52
C45,177774.8929839083,142914.67701925687,80.39
V252550,43287.66455174431,34746.16179050704,80.27
B14,629578.4318482418,504299.2998761169,80.1
AISI420,526901.875506783,421378.4241052664,79.97
266GRADE2,45571.444266436236,36312.56365459031,79.68
AISI434MOL,45571.444266436236,36306.50076926702,79.67
SGD400,91142.88853287246,72579.1167590104,79.63
SAE4135H,45641.87554279268,36338.700922369455,79.62
430L,45681.320798913956,36358.584964206944,79.59
SAE59254,45571.444266436236,36210.897394376916,79.46
ST523,221005.8821881048,175550.83600942028,79.43
C15M,133.34643457109422,105.854726203569,79.38
SCR415HN,43287.66455174431,34357.68446595933,79.37
E3250,43287.66455174431,34284.52854207699,79.2
40CR4B,88859.10881818051,70353.51755628517,79.17
EN9,132146.7733699248,104550.20840464064,79.12
WSSMIA340,88990.01824276912,70412.84586800718,79.12
S55,43287.66455174431,34125.4896958142,78.83
SAE8720,180056.93561729163,141615.25854306718,78.65
SAE9310,122.68105418504811,96.2600480373618,78.46
SAE8650,88859.10881818054,69585.41756267966,78.31
EN14B,45571.444266436236,35597.32099241832,78.11
AISI410,576630.400751298,449827.41165445314,78.01
S25C,277.33840294195113,215.8264005491738,77.82
C15PBK,91142.88853287246,70811.7575541862,77.69
16MNCR5H,91214.37287811041,70595.08745279312,77.39
2NI2CRMO,45571.444266436236,35172.21345039082,77.18
42CRMOS4,91142.88853287246,70164.27358119024,76.98
38MNSIVS5,45852.75572098221,35248.31944890043,76.87
VS14250,204.0896139975771,156.3536937573256,76.61
SCM420H3V2,45788.90025119344,35035.212833864374,76.51
SA350LF2,144.58904644770092,110.290468419718,76.28
C45RPB,717993.1443119571,546777.6759397843,76.15
S48CSS1V,43410.34775158279,33040.93331695888,76.11
35MN6MO3,43402.854624995816,33028.06299136306,76.1
SAE8620H,136.6873953862981,103.7183719509592,75.88
C45R,140.0495922513436,105.7412441373596,75.5
WSSMIA340A,45846.34660116982,34498.35997297641,75.25
15B25,45640.6637235184,34287.455440250116,75.12
SAE1144,43287.66455174431,32325.11136407568,74.68
C70S6K,128.90701685847688,96.2600480373618,74.67
16MNCRS5,91142.88853287246,67574.9274356174,74.14
NITRAALLO,45571.444266436236,33781.24558687307,74.13
LF2,43347.88725883493,32093.163383185434,74.04
X22CRMOV12L,43287.66455174431,31962.310697419773,73.84
SAE8720M,46102.37282455819,33848.926532457095,73.42
SS400,68.452065109304,50.1679757011305,73.29
C45RPBHH,43352.03824442202,31724.026022712944,73.18
16MN5CR4,43287.66455174431,31669.555804291558,73.16
SAE1541,43287.66455174431,31669.555804291558,73.16
35C8,43287.66455174431,31669.555804291558,73.16
GTD450,180001.9973510526,130576.75516268481,72.54
VS13113SU,45713.82110701312,33078.042510125764,72.36
C45GPB,45571.444266436236,32969.066452795916,72.35
ICSS1218,45571.444266436236,32969.066452795916,72.35
44MNSIV56,45571.444266436236,32969.066452795916,72.35
25CRMO4,45571.444266436236,32969.066452795916,72.35
SAE1010,45571.444266436236,32969.066452795916,72.35
350LF6,77.0917130922434,55.3343909574342,71.78
10B21,73.6190003416578,51.5180580133023,69.98
C10C,71.4783778008934,49.665441790999,69.48
CF53,72.1206647526801,49.8104214987406,69.07
S48CS,74.9380890653981,51.4648618366653,68.68
500N,77.0917130922434,51.5219856800681,66.83
18MF5,76.8715550679149,50.9217145129037,66.24
